dim1,dim2,dim3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"Salary and Benefits","World","Budget",182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,182039.7209440,2184476.6513283
"Travel Costs","World","Budget",16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,16926.1777354,203114.1328247
"Marketing","World","Budget",36905.2312287,30475.7407881,42871.1957311,36240.4681244,35210.1965317,36778.8319872,41643.8547585,33655.0224153,30857.5904121,27451.5460519,29166.5795383,31860.6339178,413116.8914852
"Training","World","Budget",8883.6708315,8894.1572646,7848.8062460,11364.6306712,11505.2985268,5623.1900861,7385.9403292,5335.7992995,8477.1698705,11623.2147905,5474.8362953,8914.0661170,101330.7803284
"Office Costs","World","Budget",27527.9554177,25636.7095961,26294.4470416,26097.9243696,24461.3578526,24692.5822740,27692.4600216,27964.7361641,27731.1012267,23728.3994779,25419.7271570,24097.2333501,311344.6339490
"Admin","World","Budget",5989.2319338,4097.9861123,4755.7235578,4559.2008858,2922.6343688,3153.8587902,6153.7365378,6426.0126803,6192.3777429,2189.6759940,3881.0036731,2558.5098663,52879.9521431
"Office lease","World","Budget",17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,17442.0783056,209304.9396673
"Utilities","World","Budget",3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,3224.6700625,38696.0407503
"Other Office Expenses","World","Budget",871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,871.9751157,10463.7013883
"Operating Expenses","World","Budget",272282.7561574,263972.5063282,275980.3476981,272668.9218447,270142.7515906,266060.5030267,275688.1537888,265921.4565583,266031.7601888,261769.0589997,259027.0416700,263837.8320643,3213383.0899155
"Other Expenses","World","Budget",12543.3200855,13911.9525994,12193.9032003,13855.9718070,13399.2486890,15978.7462827,11701.4020338,13942.2003008,9829.2106592,13511.9254310,9734.2387894,13198.1196974,153800.2395754
"Total Expenses","World","Budget",284826.0762428,277884.4589277,288174.2508984,286524.8936517,283542.0002796,282039.2493094,287389.5558226,279863.6568590,275860.9708480,275280.9844306,268761.2804594,277035.9517617,3367183.3294909
"Salary and Benefits","North America","Budget",65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,65749.2703897,788991.2446758
"Travel Costs","North America","Budget",11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,11679.1292002,140149.5504023
