dim1,dim2,dim3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"Percentage Allocation","World","Budget",1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,12.0000000
"Percentage Allocation","Europe","Budget",0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,0.4000000,4.8000000
"Percentage Allocation","Paris","Budget",0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,0.3500000,4.2000000
"Percentage Allocation","London","Budget",0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,3.6000000
"Percentage Allocation","Asia","Budget",0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,3.6000000
"Percentage Allocation","Singapore","Budget",0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,1.4400000
"Percentage Allocation","Thailand","Budget",0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.0600000,0.7200000
"Percentage Allocation","France","Budget",0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,2.4000000
"Percentage Allocation","UK","Budget",0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,2.4000000
"Percentage Allocation","USA","Budget",0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,0.2000000,2.4000000
"Percentage Allocation","Canada","Budget",0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,1.2000000
"Percentage Allocation","North America","Budget",0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,3.6000000
"Percentage Allocation","Asia Pacific","Budget",0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,0.3000000,3.6000000
"Percentage Allocation","Australia","Budget",0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,0.1200000,1.4400000
