dim1,dim2,dim3,dim4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"Airfare","Canada","Australia","Budget",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000
"Hotel","Canada","Australia","Budget",250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000
"Per Diem","Canada","Australia","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000
"Airfare","France","Australia","Budget",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000
"Hotel","France","Australia","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000
"Per Diem","France","Australia","Budget",100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000
"Airfare","Singapore","Australia","Budget",1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000
"Hotel","Singapore","Australia","Budget",180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000,180.0000000
"Per Diem","Singapore","Australia","Budget",100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000
"Airfare","Thailand","Australia","Budget",40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000,40000.0000000
"Hotel","Thailand","Australia","Budget",8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000
"Per Diem","Thailand","Australia","Budget",3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000,3000.0000000
"Airfare","UK","Australia","Budget",2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000,2800.0000000
"Hotel","UK","Australia","Budget",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000
"Per Diem","UK","Australia","Budget",100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000
"Airfare","USA","Australia","Budget",5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000
"Hotel","USA","Australia","Budget",250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000,250.0000000
"Per Diem","USA","Australia","Budget",100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000
