dim1,dim2,dim3,dim4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"Loan Amount","World","Total","Budget",131176.2133800,43725.4044600,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,174901.6178400
"Annual Rate","World","Total","Budget",0.0500000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,1.1500000
"Term","World","Total","Budget",24.0000000,60.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,84.0000000
"LoanType","World","Total","Budget",1.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,23.0000000
"Remaining Month","World","Total","Budget",24.0000000,83.0000000,81.0000000,79.0000000,77.0000000,75.0000000,73.0000000,71.0000000,69.0000000,67.0000000,65.0000000,63.0000000,827.0000000
"Principle","World","Total","Budget",131176.2133800,169693.3026147,163820.3229375,157922.8725116,152000.8493756,146054.1511432,140082.6750016,134086.3177093,128064.9755950,122018.5445552,115946.9200527,109849.9971148,1670717.1419912
"Principle Repay","World","Total","Budget",5208.3152253,5872.9796772,5897.4504259,5922.0231360,5946.6982324,5971.4761417,5996.3572923,6021.3421143,6046.4310398,6071.6245025,6096.9229379,6122.3267835,71173.9475086
"Interest","World","Total","Budget",546.5675557,707.0554276,682.5846789,658.0119688,633.3368724,608.5589631,583.6778125,558.6929905,533.6040650,508.4106023,483.1121669,457.7083213,6961.3214250
"Total payment","World","Total","Budget",5754.8827810,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,78135.2689336
"Loan Amount","Asia Pacific","Total","Budget",131176.2133800,43725.4044600,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,174901.6178400
"Annual Rate","Asia Pacific","Total","Budget",0.0500000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,1.1500000
"Term","Asia Pacific","Total","Budget",24.0000000,60.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,84.0000000
"LoanType","Asia Pacific","Total","Budget",1.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,23.0000000
"Remaining Month","Asia Pacific","Total","Budget",24.0000000,83.0000000,81.0000000,79.0000000,77.0000000,75.0000000,73.0000000,71.0000000,69.0000000,67.0000000,65.0000000,63.0000000,827.0000000
"Principle","Asia Pacific","Total","Budget",131176.2133800,169693.3026147,163820.3229375,157922.8725116,152000.8493756,146054.1511432,140082.6750016,134086.3177093,128064.9755950,122018.5445552,115946.9200527,109849.9971148,1670717.1419912
"Principle Repay","Asia Pacific","Total","Budget",5208.3152253,5872.9796772,5897.4504259,5922.0231360,5946.6982324,5971.4761417,5996.3572923,6021.3421143,6046.4310398,6071.6245025,6096.9229379,6122.3267835,71173.9475086
"Interest","Asia Pacific","Total","Budget",546.5675557,707.0554276,682.5846789,658.0119688,633.3368724,608.5589631,583.6778125,558.6929905,533.6040650,508.4106023,483.1121669,457.7083213,6961.3214250
"Total payment","Asia Pacific","Total","Budget",5754.8827810,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,6580.0351048,78135.2689336
"Loan Amount","Australia","Total","Budget",150000.0000000,50000.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200000.0000000
"Annual Rate","Australia","Total","Budget",0.0500000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,0.1000000,1.1500000
"Term","Australia","Total","Budget",24.0000000,60.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.0000000
"LoanType","Australia","Total","Budget",1.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,23.0000000
"Remaining Month","Australia","Total","Budget",24.0000000,83.0000000,81.0000000,79.0000000,77.0000000,75.0000000,73.0000000,71.0000000,69.0000000,67.0000000,65.0000000,63.0000000,827.0000000
"Principle","Australia","Total","Budget",150000.0000000,194044.2915399,187328.5392790,180584.8047170,173812.9712610,167012.9218323,160184.5388643,153327.7043006,146442.2995929,139528.2056988,132585.3030803,125613.4717008,1910465.0518669
"Principle Repay","Australia","Total","Budget",5955.7084601,6715.7522609,6743.7345620,6771.8334560,6800.0494287,6828.3829680,6856.8345637,6885.4047077,6914.0938940,6942.9026186,6971.8313795,7000.8806769,81387.4089761
"Interest","Australia","Total","Budget",625.0000000,808.5178814,780.5355803,752.4366863,724.2207136,695.8871743,667.4355786,638.8654346,610.1762483,581.3675237,552.4387628,523.3894654,7960.2710494
"Total payment","Australia","Total","Budget",6580.7084601,7524.2701423,7524.2701423,7524.2701423,7524.2701423,7524.2701423,7524.2701423,7524.2701423,7524.2701423,7524.2701423,7524.2701423,7524.2701423,89347.6800255
"Loan Amount","World","Cmwealth-001","Budget",0.0000000,43725.4044600,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,43725.4044600
"Annual Rate","World","Cmwealth-001","Budget",0.0000000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.5500000
"Term","World","Cmwealth-001","Budget",0.0000000,60.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,60.0000000
"LoanType","World","Cmwealth-001","Budget",0.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,11.0000000
"Remaining Month","World","Cmwealth-001","Budget",0.0000000,60.0000000,59.0000000,58.0000000,57.0000000,56.0000000,55.0000000,54.0000000,53.0000000,52.0000000,51.0000000,50.0000000,605.0000000
"Principle","World","Cmwealth-001","Budget",0.0000000,43725.4044600,43082.4413215,42436.7991699,41788.4668427,41137.4331308,40483.6867785,39827.2164830,39168.0108946,38506.0586162,37841.3482034,37173.8681638,445170.7340644
"Principle Repay","World","Cmwealth-001","Budget",0.0000000,642.9631385,645.6421516,648.3323272,651.0337119,653.7463524,656.4702955,659.2055884,661.9522783,664.7104128,667.4800396,670.2612064,7221.7975026
"Interest","World","Cmwealth-001","Budget",0.0000000,182.1891852,179.5101722,176.8199965,174.1186118,171.4059714,168.6820282,165.9467353,163.2000454,160.4419109,157.6722842,154.8911173,1854.8780586
"Total payment","World","Cmwealth-001","Budget",0.0000000,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,9076.6755612
"Loan Amount","Asia Pacific","Cmwealth-001","Budget",0.0000000,43725.4044600,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,43725.4044600
"Annual Rate","Asia Pacific","Cmwealth-001","Budget",0.0000000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.5500000
"Term","Asia Pacific","Cmwealth-001","Budget",0.0000000,60.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,60.0000000
"LoanType","Asia Pacific","Cmwealth-001","Budget",0.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,11.0000000
"Remaining Month","Asia Pacific","Cmwealth-001","Budget",0.0000000,60.0000000,59.0000000,58.0000000,57.0000000,56.0000000,55.0000000,54.0000000,53.0000000,52.0000000,51.0000000,50.0000000,605.0000000
"Principle","Asia Pacific","Cmwealth-001","Budget",0.0000000,43725.4044600,43082.4413215,42436.7991699,41788.4668427,41137.4331308,40483.6867785,39827.2164830,39168.0108946,38506.0586162,37841.3482034,37173.8681638,445170.7340644
"Principle Repay","Asia Pacific","Cmwealth-001","Budget",0.0000000,642.9631385,645.6421516,648.3323272,651.0337119,653.7463524,656.4702955,659.2055884,661.9522783,664.7104128,667.4800396,670.2612064,7221.7975026
"Interest","Asia Pacific","Cmwealth-001","Budget",0.0000000,182.1891852,179.5101722,176.8199965,174.1186118,171.4059714,168.6820282,165.9467353,163.2000454,160.4419109,157.6722842,154.8911173,1854.8780586
"Total payment","Asia Pacific","Cmwealth-001","Budget",0.0000000,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,825.1523237,9076.6755612
"Loan Amount","Australia","Cmwealth-001","Budget",0.00,50000.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.0000000
"Annual Rate","Australia","Cmwealth-001","Budget",0.0000000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
"Term","Australia","Cmwealth-001","Budget",0.00,60.0000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"LoanType","Australia","Cmwealth-001","Budget",0.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
"Remaining Month","Australia","Cmwealth-001","Budget",0.0000000,60.0000000,59.0000000,58.0000000,57.0000000,56.0000000,55.0000000,54.0000000,53.0000000,52.0000000,51.0000000,50.0000000,50.0000000
"Principle","Australia","Cmwealth-001","Budget",0.0000000,50000.0000000,49264.7716511,48526.4798508,47785.1118347,47040.6547851,46293.0958312,45542.4220483,44788.6204579,44031.6780276,43271.5816706,42508.3182453,42508.3182453
"Principle Repay","Australia","Cmwealth-001","Budget",0.0000000,735.2283489,738.2918003,741.3680162,744.4570496,747.5589539,750.6737829,753.8015903,756.9424303,760.0963571,763.2634252,766.4436895,8258.1254442
"Interest","Australia","Cmwealth-001","Budget",0.0000000,208.3333333,205.2698819,202.1936660,199.1046326,196.0027283,192.8878993,189.7600919,186.6192519,183.4653251,180.2982570,177.1179927,2121.0530600
"Total payment","Australia","Cmwealth-001","Budget",0.0000000,943.5616822,943.5616822,943.5616822,943.5616822,943.5616822,943.5616822,943.5616822,943.5616822,943.5616822,943.5616822,943.5616822,10379.1785042
"Loan Amount","World","NAB-003","Budget",131176.2133800,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,131176.2133800
"Annual Rate","World","NAB-003","Budget",0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000,0.6000000
