dim1,dim2,dim3,dim4,dim5,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
:measureComment is ''
"STD Price","USA","Total Product","Wholesale","Actual",14.9166667,14.9166667,14.9166667,14.9166667,14.9166667,14.9166667,14.9409802,14.9409802,14.9409802,14.9409802,14.9409802,14.9409802,14.9288235
"STD Price","Canada","Total Product","Wholesale","Actual",15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000,15.6625000
"STD Price","UK","Total Product","Wholesale","Actual",11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334,11.9333334
"STD Price","France","Total Product","Wholesale","Actual",11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590,11.4743590
"STD Price","Singapore","Total Product","Wholesale","Actual",20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334,20.8833334
"STD Price","Thailand","Total Product","Wholesale","Actual",522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345,522.0833345
"STD Price","Australia","Total Product","Wholesale","Actual",17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000,17.9000000
"STD Price","USA","Fantasy","Wholesale","Actual",1.2127371,1.2127371,1.2127371,1.2127371,1.2127371,1.2127371,1.2300000,1.2300000,1.2300000,1.2300000,1.2300000,1.2300000,1.2213686
"STD Price","Canada","Fantasy","Wholesale","Actual",1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740,1.2733740
"STD Price","UK","Fantasy","Wholesale","Actual",0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897,0.9701897
"STD Price","France","Fantasy","Wholesale","Actual",0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747,0.9328747
"STD Price","Singapore","Fantasy","Wholesale","Actual",1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319,1.6978319
